id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
1,송개신,宋介臣,1393,생원,生員,MTP NL,,,, 송,, 宋,,,,,,,
2,김효원,金孝源,1393,생원,生員,MTPA 191A 4A; PSTP 18-029B,덕분,德芬,김해,김해 김,金海,金海 金,개경,開京,,,,,
3,이담,李擔,1393,생원,生員,"MTPA 066A 1A; PSTP 09-003A; MRCP 1-7A, 1-31B; AKCP 2-6B; CWS 01-325上B; SSW 035",,,경주,경주 이,慶州,慶州 李,개경,開京,,,,,
4,탁함,卓,1393,생원,生員,MTP NL,,,승평,승평 탁,昇平,昇平 卓,,,,,,,
5,윤정,尹定,1393,생원,生員,MTPA 280A 4B; PSTP 23-057A,,,함안,함안 윤,咸安,咸安 尹,경,京,,,,,
6,변계손,卞季孫,1393,생원,生員,MTP NL,,,, 변,, 卞,,,,,,,
7,변처후,邊處厚,1393,생원,生員,MTPB 237A 2D; CWS 04-118下B,덕재,德載,장연,장연 변,長淵,長淵 邊,경,京,"수정(水亭), 수재",水齋,,,
8,신개,申,1393,생원,生員,"MTPB 043B 3B; PSTP 34-001A, 34-005A, 45-076A; MRCP 1-32B; AKCP 2-19B; CWS 04-649上A; SSW 624",자격,子格,평산,평산 신,平山,平山 申,경,京,"인재(寅齋), 양졸당",養拙堂,문희,文僖,
9,홍여강,洪汝剛,1393,생원,生員,MTPS 172B 3DP; MRCP 4-81B; AKCP 1-38A; SSW 423,,,남양,남양 홍,南陽,南陽 洪,경,京,정재,靜齋,,,
10,이숙번,李叔蕃,1393,생원,生員,MTPA 149B 3C; MRCP 2-49B; SSW 123,,,안성,안성 이,安城,安城 李,,,,,,,
11,소호인,蘇好仁,1393,진사,進士,MTP NL,,,진주,진주 소,晋州,晋州 蘇,,,,,,,
12,유흡,柳洽,1393,생원,生員,MTP NC ; SSW 566,,,백천,백천 유,白川,白川 柳,,,,,,,
13,김식,金湜,1393,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
14,서선,徐選,1393,생원,生員,MTPB 169A 2C; CWS 03-465下A,대숙,大淑,이천,이천 서,利川,利川 徐,여주,驪州,해화당,海華堂,공도,恭度,
15,김효손,金孝孫,1393,생원,生員,"MTP NL ; MRCP 4-15A; SSW 043, 259",,,의성,의성 김,義城,義城 金,,,,,,,
16,이초,李椒,1393,생원,生員,MTP NL,,,광산,광산 이,光山,光山 李,광주,光州,,,,,
17,한겸,韓兼,1393,생원,生員,"MTPB 102A 4C; PSTP 31-076A; SSW 223, 492",,,평산,평산 한,平山,平山 韓,상주,尙州,,,,,
