"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1753_009406&category=dirSer","G002+AKS-KHF_13C774C218B4DDB1697X0","문과",3,15,"정시2",1753,"영조",30,"부사과(副司果)","을과(乙科)",2,"1753-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1757_009647&category=dirSer","G002+AKS-KHF_13C720C5B8C220B1703X0","문과",3,7,"중시",1757,"영조",30,"세자시강원보덕(世子侍講院輔德)","을과(乙科)",2,"1757-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1784_010847&category=dirSer","G002+AKS-KHF_13C2E0AE30D604B1747X0","문과",15,18,"정시",1784,"정조",30,"유학(幼學)","병과(丙科)",12,"1784-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1785_010868&category=dirSer","G002+AKS-KHF_13BC15C885ACB8B1744X0","문과",5,10,"정시",1785,"정조",30,"유학(幼學)","병과(丙科)",2,"1785-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1864_013372&category=dirSer","G002+AKS-KHF_13AE40CC3DB95CB1843X0","문과",6,18,"정시",1864,"고종",80,"유학(幼學)","병과(丙科)",3,"1864-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1885_014352&category=dirSer","G002+AKS-KHF_13C5C4C775C870B1849X0","문과",29,44,"정시",1885,"고종",80,"유학(幼學)","병과(丙科)",26,"1885-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1887_014496&category=dirSer","G002+AKS-KHF_13B0A8C815AD6CB1866X0","문과",5,8,"함경도도과",1887,"고종",80,"유학(幼學)","병과(丙科)",3,"1887-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1771_010196&category=dirSer","G002+AKS-KHF_13C870D76CC720B1742X0","문과",49,74,"식년시",1771,"영조",83,"유학(幼學)","병과(丙科)",39,"1771-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1771_010215&category=dirSer","G002+AKS-KHF_13C1A1C911D604B1737X0","문과",68,74,"식년시",1771,"영조",83,"유학(幼學)","병과(丙科)",58,"1771-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1851_012952&category=dirSer","G002+AKS-KHF_13BBFCC8FCD604B1808X0","문과",11,13,"정시2",1851,"철종",83,"유학(幼學)","병과(丙科)",8,"1851-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1888_014604&category=dirSer","G002+AKS-KHF_13C1A1C7ACD68CB1861X0","문과",20,34,"식년시",1888,"고종",83,"유학(幼學)","병과(丙科)",10,"1888-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1723_008334&category=dirSer","G002+AKS-KHF_13AE40BC31D638B1680X0","문과",36,41,"증광시",1723,"경종",91,"진사(進士)","병과(丙科)",26,"1723-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1765_009918&category=dirSer","G002+AKS-KHF_13B178C131D0C1B1723X0","문과",24,52,"식년시",1765,"영조",91,"통덕랑(通德郞)","병과(丙科)",14,"1765-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1785_010872&category=dirSer","G002+AKS-KHF_13BC29C7ACC545B1739X0","문과",9,10,"정시",1785,"정조",85,"유학(幼學)","병과(丙科)",6,"1785-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1633_005699&category=dirSer","G002+AKS-KHF_13AE40C5ECB7C9B1603X0","문과",21,33,"식년시",1633,"인조",94,"유학(幼學)","병과(丙科)",11,"1633-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1786_010889&category=dirSer","G002+AKS-KHF_13C624B300ACE4B1734X0","문과",1,32,"식년시",1786,"정조",94,"진사(進士)","갑과(甲科)",1,"1786-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1800_011336&category=dirSer","G002+AKS-KHF_13C624D64DC11DB1776X0","문과",8,41,"별시",1800,"정조",94,"유학(幼學)","병과(丙科)",5,"1800-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1801_011432&category=dirSer","G002+AKS-KHF_13AE40ACC4C5F0B1767X0","문과",16,35,"식년시",1801,"순조",94,"유학(幼學)","병과(丙科)",6,"1801-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1831_012364&category=dirSer","G002+AKS-KHF_13C624D0DCAD8CB1790X0","문과",28,42,"식년시",1831,"순조",94,"유학(幼學)","병과(丙科)",18,"1831-07-01"
