"bid","bpid","bc_level","solardate","bcid","gid"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1466_001363&category=dirSer","G002+AKS-KHF_12AE40B274FFFFB1436X0",8.5,"1466-07-01","bc11891",795
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1466_001420&category=dirSer","G002+AKS-KHF_12AE40B274FFFFB1436X0",8.5,"1466-07-01","bc11892",795
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1705_007737&category=dirSer","G002+AKS-KHF_13AD8CB300D56DB1663X0",15,"1708-07-01","bc1960",2227
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1675_006800&category=dirSer","G002+AKS-KHF_12C774C2DDFFFFB1643X0",8.5,"1675-07-01","bc13755",2050
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1828_012289&category=dirSer","G002+AKS-KHF_13AE40C815C6B4B1802X0",15,"1831-07-01","bc3434",2227
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1599_004542&category=dirSer","G002+AKS-KHF_12C724C591FFFFB1573X0",15,"1602-07-01","bc8450",2227
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1492_001948&category=dirSer","G002+AKS-KHF_13AE40C0ACC6D0U9999X0",11.5,"1492-07-01","bc12066",19
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1507_002323&category=dirSer","G002+AKS-KHF_13AE40C0ACC6D0U9999X0",4.5,"1507-07-01","bc15129",1404
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1874_013827&category=dirSer","G002+AKS-KHF_13AE40AD6CD604B1830X0",6.5,"1874-07-01","bc14646",1285
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1516_002488&category=dirSer","G002+AKS-KHF_12C724AC1CFFFFB1494X0",15,"1519-07-01","bc5588",2227
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1456_001079&category=dirSer","G002+AKS-KHF_13AE40C218C190B1430X0",15,"1459-07-01","bc5088",2229
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1476_001631&category=dirSer","G002+AKS-KHF_13AE40C218C190B1430X0",7.5,"1476-07-01","bc15107",12
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1416_000336&category=dirSer","G002+AKS-KHF_12AE40AD6CFFFFB1383X0",15,"1419-07-01","bc2590",2229
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1726_008485&category=dirSer","G002+AKS-KHF_12AC15D56DFFFFB1702X0",15,"1729-07-01","bc2117",2229
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1405_000188&category=dirSer","G002+AKS-KHF_13AE40C885C11CB1383X0",15,"1408-07-01","bc4770",2229
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1490_001892&category=dirSer","G002+AKS-KHF_12AC15D615FFFFB1451X0",10.5,"1490-07-01","bc12055",1141
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1543_003116&category=dirSer","G002+AKS-KHF_12C774AC10FFFFB1516X0",15,"1546-07-01","bc8024",2229
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1553_003357&category=dirSer","G002+AKS-KHF_13C2E0D76CBCF5B1506X0",7.5,"1553-07-01","bc13012",22
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001843&category=dirSer","G002+AKS-KHF_13BBFCBCF4C775D1497X0",12.5,"1486-07-01","bc12934",1553
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1882_014201&category=dirSer","G002+AKS-KHF_13C724C0C1D559B1819X0",15,"1885-07-01","bc4183",2227
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1751_009357&category=dirSer","G002+AKS-KHF_13BCC0CE58BA85B1703X0",8.5,"1751-07-01","bc12786",2050
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1565_003637&category=dirSer","G002+AKS-KHF_13AE40D6A8C6D0B1542X0",11,"1565-07-01","bc301",2228
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1634_005720&category=dirSer","G002+AKS-KHF_13B178C900BA85B1596X0",13.5,"1634-07-01","bc12295",167
