"bpid","chnname","korname","family_clan","birth","death","plastic"
"G002+AKS-KHF_13D64DC6D0D45CB1868X0","洪元杓","홍원표","남양(南陽[唐])",1868,,"plastic"
"G002+AKS-KHF_13C870D0DCCC44B1660X0","趙泰采","조태채","양주(楊州)",1660,1722,"silver"
"G002+AKS-KHF_13C774D55CCD98B1828X0","李漢春","이한춘","전주(全州)",1828,,"plastic"
"G002+AKS-KHF_13D64DC885D611B1844X0","洪鍾協","홍종협","남양(南陽[唐])",1844,,"silver"
"G002+AKS-KHF_13D64DC2B9BC94B1528X0","洪承範","홍승범","남양(南陽[唐])",1528,,"plastic"
"G002+AKS-KHF_13C7A5C900B0A8B1606X0","張俊南","장준남","인동(仁同[2])",1606,,"plastic"
"G002+AKS-KHF_13D64DC885D611B1830X0","洪鍾協","홍종협","남양(南陽[唐])",1830,,"plastic"
"G002+AKS-KHF_13D64DC8FCC775B1726X0","洪柱翼","홍주익","남양(南陽[唐])",1726,1789,"silver"
"G002+AKS-KHF_13D64DAE30D0DCB1821X0","洪基泰","홍기태","남양(南陽[唐])",1821,,"plastic"
"G002+AKS-KHF_13D64DC0ACC999B1553X0","洪思楫","홍사즙","남양(南陽[唐])",1553,,"plastic"
"G002+AKS-KHF_13C720C6D0B85CU9999X0","兪元老","유원노","기계(杞溪)",,,"plastic"
"G002+AKS-KHF_13C720C5B8AD6DB1701X0","兪彦國","유언국","기계(杞溪)",1701,,"silver"
"G002+AKS-KHF_13C720C815AD50B1637X0","柳廷喬","유정교","진주(晉州[移])",1637,,"plastic"
"G002+AKS-KHF_13AE40AD6CB77DB1835X0","金龜洛","김귀낙","의성(義城)",1835,,"plastic"
"G002+AKS-KHF_13AE40C21CD544B1514X0","金舜弼","김순필","안동(安東)",1514,,"plastic"
"G002+AKS-KHF_13C548C138D638U9999X0","安世豪","안세호","죽산(竹山[舊])",,,"plastic"
"G002+AKS-KHF_13C815C724D76CB1531X0","丁胤禧","정윤희","나주(羅州)",1531,1589,"silver"
"G002+AKS-KHF_13C720C9C0C120B1498X0","柳智善","유지선","문화(文化)",1498,1577,"silver"
"G002+AKS-KHF_13C2E0D76CB0A8B1517X0","愼喜男","신희남","거창(居昌)",1517,1591,"silver"
"G002+AKS-KHF_13AE40C5ECC11DB1445X0","金礪石","김여석","광산(光山)",1445,1493,"silver"
"G002+AKS-KHF_13C774C7A5D0DCB1705X0","李長泰","이장태","영천(永川)",1705,,"plastic"
"G002+AKS-KHF_12C2E0C11CFFFFB1752X0","申漵","신서","고령(高靈)",1752,,"silver"
"G002+AKS-KHF_12AE40D0C1FFFFU9999X1","金鐸","김탁","고령(高靈)",,,"silver"
"G002+AKS-KHF_13C774C131ACBDB1719X0","李星慶","이성경","전주(全州)",1719,,"silver"
"G002+AKS-KHF_13B0A8C219D76CB1844X0","南肅熙","남숙희","의령(宜寧)",1844,,"silver"
"G002+AKS-KHF_13C774AD00D68CB1844X0","李觀會","이관회","광주(廣州)",1844,,"silver"
"G002+AKS-KHF_13AD8CD0DCC77CB1569X0","權泰一","권태일","안동(安東)",1569,1631,"silver"
"G002+AKS-KHF_13BC15C758C8FCB1791X0","朴義柱","박의주","밀양(密陽)",1791,,"plastic"
"G002+AKS-KHF_13D64DC138C601B1539X0","洪世英","홍세영","남양(南陽[唐])",1539,,"silver"
"G002+AKS-KHF_13C774C7ACD559B1745X0","李在學","이재학","용인(龍仁)",1745,1806,"silver"
"G002+AKS-KHF_13D55CACBDD601B1843X0","韓景爀","한경혁","청주(淸州)",1843,,"plastic"
"G002+AKS-KHF_13C774C601B85DB1707X0","李永祿","이영녹","함평(咸平)",1707,1750,"silver"
"G002+AKS-KHF_12BC15AE08FFFFB1583X0","朴嶔","박금","충주(忠州)",1583,,"plastic"
"G002+AKS-KHF_12AE40D0C0FFFFU9999X0","金沱","김타","경주(慶州)",,,"plastic"
"G002+AKS-KHF_13C774CC3DD658B1836X0","李昌煥","이창환","교하(交河)",1836,,"plastic"
"G002+AKS-KHF_13C774BA85C138B1661X0","李命世","이명세","전주(全州)",1661,1715,"silver"
"G002+AKS-KHF_13CC44C815B9B0B1642X0","蔡廷麟","채정인","인천(仁川)",1642,1698,"silver"
"G002+AKS-KHF_13ACBDC2DCC131B1536X0","慶時成","경시성","청주(淸州)",1536,,"silver"
"G002+AKS-KHF_13C774C131ACBDB1570X0","李晟慶","이성경","전주(全州)",1570,,"silver"
"G002+AKS-KHF_13BBFCB2ECC6A9B1802X0","閔達鏞","민달용","여흥(驪興)",1802,1862,"silver"
"G002+AKS-KHF_13C2B9C815C220B1737X0","承正述","승정술","연일(延日)",1737,,"plastic"
"G002+AKS-KHF_13CD5CCE58C0C1B1790X0","崔致常","최치상","나주(羅州)",1790,,"plastic"
"G002+AKS-KHF_13C774B355C2B9B1756X0","李德升","이덕승","전주(全州)",1756,,"plastic"
"G002+AKS-KHF_13C815C591C724B1589X0","鄭良胤","정양윤","동래(東萊)",1589,,"silver"
"G002+AKS-KHF_13BC15CDA9D658B1733X0","朴忠煥","박충환","밀양(密陽)",1733,,"silver"
"G002+AKS-KHF_13C774C138B355B1662X0","李世德","이세덕","용인(龍仁)",1662,1724,"silver"
"G002+AKS-KHF_13C774C608ACACB1436X0","李禮堅","이예견","한산(韓山)",1436,1510,"silver"
"G002+AKS-KHF_13C720D64DAE30B1765X0","劉弘基","유홍기","강릉(江陵)",1765,,"plastic"
"G002+AKS-KHF_13C724BE44ACBDB1607X0","尹飛卿","윤비경","파평(坡平)",1607,1680,"silver"
"G002+AKS-KHF_13C774D6C4B2ECB1714X0","李厚達","이후달","전주(全州)",1714,,"silver"
"G002+AKS-KHF_12B3C4D615FFFFB1480X0","都衡","도형","성주(星州)",1480,1547,"silver"
"G002+AKS-KHF_13D55CC5ECCCA0U9999X0","韓汝哲","한여철","청주(淸州)",,,"silver"
"G002+AKS-KHF_13AD6CCE58ACE4U9999X0","丘致崑","구치곤","평해(平海)",,,"silver"
"G002+AKS-KHF_13C774B4DDBC30B1715X0","李得培","이득배","전의(全義)",1715,1774,"silver"
"G002+AKS-KHF_13C720C815B9BDB1598X0","柳正立","유정입","문화(文化)",1598,,"silver"
"G002+AKS-KHF_13BC15B300B144D1456X0","朴大年","박대연","순천(順天)",,1456,"silver"
"G002+AKS-KHF_13AE40C6A9AD6DB1808X0","金龍國","김용국","광산(光山)",1808,,"plastic"
"G002+AKS-KHF_12C774D0DDFFFFB1803X0","李澤","이택","수안(遂安)",1803,,"silver"
"G002+AKS-KHF_13C1A1CC98AC80U9999X0","宋處儉","송처검","청주(淸州)",,,"silver"
"G002+AKS-KHF_13C2E0C601AD8CB1815X0","申永權","신영권","평산(平山)",1815,,"plastic"
"G002+AKS-KHF_13C724D64DC758U9999X0","尹弘毅","윤홍의","파평(坡平)",,,"silver"
"G002+AKS-KHF_13C784C815C6D0B1724X0","林鼎遠","임정원","나주(羅州)",1724,,"silver"
"G002+AKS-KHF_13C131D558ACBDB1823X0","成夏慶","성하경","창녕(昌寧)",1823,,"plastic"
"G002+AKS-KHF_12C774C7A5FFFFB1601X0","李樟","이장","벽진(碧珍)",1601,1632,"plastic"
"G002+AKS-KHF_13C815B3D9D55CB1701X0","鄭東翰","정동한","진양(晉陽)",1701,,"plastic"
"G002+AKS-KHF_13CD5CD638BB38B1798X0","崔虎文","최호문","양천(陽川)",1798,1850,"plastic"
"G002+AKS-KHF_13C724C9D5C0C1B1654X0","尹徵商","윤징상","파평(坡平)",1654,,"silver"
"G002+AKS-KHF_13D64DC774C870B1736X0","洪履祚","홍이조","남양(南陽[唐])",1736,,"plastic"
"G002+AKS-KHF_13AE40D64DBBFCB1540X0","金弘敏","김홍민","상산(商山)",1540,1594,"silver"
"G002+AKS-KHF_13C774C6B0CD98B1668X0","李遇春","이우춘","성주(星州)",1668,,"silver"
"G002+AKS-KHF_13BBFCC885B82CB1745X0","閔鍾烈","민종열","여흥(驪興)",1745,1798,"silver"
"G002+AKS-KHF_13C870D64DC9C4B1743X0","趙弘鎭","조홍진","풍양(豊壤)",1743,1821,"silver"
"G002+AKS-KHF_12AD8CACA9FFFFB1620X0","權格","권격","안동(安東)",1620,1671,"silver"
"G002+AKS-KHF_13C9C4AC11D604B1874X0","陳甲鉉","진갑현","여양(驪陽)",1874,,"plastic"
"G002+AKS-KHF_13AE40C11DD76CB1804X0","金錫熙","김석희","서흥(瑞興)",1804,1862,"plastic"
"G002+AKS-KHF_13AD8CBD09D658B1837X0","權鳳煥","권봉환","안동(安東)",1837,,"plastic"
"G002+AKS-KHF_13D64DC911D734B1667X0","洪重休","홍중휴","풍산(豊山)",1667,1717,"silver"
"G002+AKS-KHF_13B178C120ACBDU9999X0","盧善卿","노선경","광주(光州)",,,"plastic"
"G002+AKS-KHF_13AE40ACC4B834B1749X0","金啓濂","김계염","강릉(江陵)",1749,,"silver"
"G002+AKS-KHF_13C131C138C900U9999X0","成世俊","성세준","창녕(昌寧)",,,"silver"
"G002+AKS-KHF_13AD6CC885B85DB1810X0","具鍾祿","구종녹","능성(綾城)",1810,1875,"plastic"
"G002+AKS-KHF_13C774D76CCD98B1832X0","李熙春","이희춘","전주(全州)",1832,,"silver"
"G002+AKS-KHF_13C774C9C0C7A5U9999X0","李智長","이지장","전의(全義)",,,"silver"
"G002+AKS-KHF_13D64DBD09C8FCB1725X0","洪鳳周","홍봉주","풍산(豊山)",1725,1796,"plastic"
"G002+AKS-KHF_13D55CC2DCC720B1759X0","韓始𥙿","한시유","청주(淸州)",1759,,"plastic"
"G002+AKS-KHF_13BBFCD615C218B1690X0","閔亨洙","민형수","여흥(驪興)",1690,1741,"silver"
"G002+AKS-KHF_13BC15ACBDC2E0B1560X0","朴慶新","박경신","죽산(竹山)",1560,1626,"silver"
"G002+AKS-KHF_13C5ECAD11C138B1703X0","呂光世","여광세","함양(咸陽)",1703,,"silver"
"G002+AKS-KHF_13C2E0C601D559B1852X0","辛泳學","신영학","영산(靈山)",1852,1920,"silver"
"G002+AKS-KHF_12C774C7A5FFFFU9999X3","李璋","이장","전주(全州)",,,"silver"
"G002+AKS-KHF_13BC15B2ECBA85B1859X0","朴達名","박달명","밀양(密陽)",1859,,"plastic"
"G002+AKS-KHF_13AC15C6B4D615B1832X0","姜運馨","강운형","진주(晉州)",1832,,"plastic"
"G002+AKS-KHF_13C720C5B8C220B1703X0","兪彦述","유언술","기계(杞溪)",1703,1773,"silver"
"G002+AKS-KHF_13C804C21CC778B1491X0","全舜仁","전순인","정선(旌善)",1491,1551,"plastic"
"G002+AKS-KHF_13C815AE30D0DCB1615X0","鄭期泰","정기태","진양(晉陽)",1615,,"silver"
"G002+AKS-KHF_13BC15C778B144D1456X0","朴引年","박인연","순천(順天)",,1456,"silver"
"G002+AKS-KHF_13C815C0ACC885U9999X0","鄭嗣宗","정사종","하동(河東)",,,"silver"
"G002+AKS-KHF_13C774C7ACC21CB1851X0","李載純","이재순","전주(全州)",1851,1904,"silver"
"G002+AKS-KHF_13C774C911D0DCB1872X0","李中泰","이중태","진성(眞城)",1872,,"silver"
"G002+AKS-KHF_13BBFCC0C1D604B1868X0","閔象鉉","민상현","여흥(驪興)",1868,1920,"plastic"
"G002+AKS-KHF_13C774C6A9C758B1828X0","李容儀","이용의","전주(全州)",1828,,"silver"
"G002+AKS-KHF_13C774C815C6B4B1747X0","李貞運","이정운","함평(咸平)",1747,1812,"silver"
"G002+AKS-KHF_13C774C775D0DCB1633X0","李益泰","이익태","연안(延安)",1633,,"silver"
"G002+AKS-KHF_13AD8CC774C9C4B1668X0","權以鎭","권이진","안동(安東)",1668,1734,"silver"
"G002+AKS-KHF_13C11CD589BCF4B1836X0","徐行輔","서행보","대구(大丘)",1836,,"plastic"
"G002+AKS-KHF_12C1A1C601FFFFU9999X1","宋瑛","송영","여산(礪山)",,,"silver"
"G002+AKS-KHF_13C870C601C758B1733X0","趙榮毅","조영의","양주(楊州)",1733,,"silver"
"G002+AKS-KHF_13C774C21CC554B1597X0","李純馣","이순암","전주(全州)",1597,1656,"silver"
"G002+AKS-KHF_13BC15ADDCB2A5B1830X0","朴圭能","박규능","평택(平澤)",1830,,"plastic"
"G002+AKS-KHF_13C2ECB2A5C9C1B1770X0","沈能稷","심능직","청송(靑松)",1770,,"silver"
"G002+AKS-KHF_12AE40D669FFFFU9999X5","金滉","김황","연안(延安)",,,"silver"
"G002+AKS-KHF_13D64DC6D0C2DDB1843X0","洪遠植","홍원식","풍산(豊山)",1843,,"silver"
"G002+AKS-KHF_12AD8CC6B4FFFFU9999X0","權雲","권운","안동(安東)",,,"silver"
"G002+AKS-KHF_13BC15C548B3C4B1651X0","朴安道","박안도","반남(潘南)",1651,,"plastic"
"G002+AKS-KHF_13C774D68CC218B1840X0","李晦洙","이회수","광주(廣州)",1840,,"plastic"
"G002+AKS-KHF_13C720C138AE30B1653X0","兪世基","유세기","기계(杞溪)",1653,,"silver"
"G002+AKS-KHF_12C724CC2CFFFFB1794X0","尹穳","윤찬","파평(坡平)",1794,,"silver"
"G002+AKS-KHF_13BB38C724BA85U9999X0","文允明","문윤명","영산(靈山)",,,"silver"
"G002+AKS-KHF_13C774C138C775B1626X0","李世翊","이세익","부평(富平)",1626,1705,"silver"
"G002+AKS-KHF_13C1A1C5ECD574B1452X0","宋汝諧","송여해","은진(恩津)",1452,1510,"silver"
"G002+AKS-KHF_12D604AE30FFFFB1761X0","玄杞","현기","연주(延州)",1761,,"plastic"
"G002+AKS-KHF_12AE40C704FFFFB1709X0","金㙔","김위","예안(禮安)",1709,1788,"plastic"
"G002+AKS-KHF_13C190C724C99DU9999X0","孫胤曾","손윤증","평해(平海)",,,"silver"
"G002+AKS-KHF_13C774C885C6B4B1760X0","李鍾運","이종운","함평(咸平)",1760,1840,"silver"
"G002+AKS-KHF_13AD8CC77CD615B1700X0","權一衡","권일형","안동(安東)",1700,,"silver"
"G002+AKS-KHF_13C774AE30C900B1555X0","李耆俊","이기준","전의(全義)",1555,1583,"silver"
"G002+AKS-KHF_13C1A1C131BA85B1674X0","宋成明","송성명","여산(礪山)",1674,,"silver"
"G002+AKS-KHF_12AD8CBC8CFFFFB1478X0","權橃","권벌","안동(安東)",1478,1548,"silver"
"G002+AKS-KHF_13BBFCC0C1D638B1870X0","閔商鎬","민상호","여흥(驪興)",1870,1933,"plastic"
"G002+AKS-KHF_13BC15C2B9C5B5B1852X0","朴勝億","박승억","반남(潘南)",1852,,"silver"
"G002+AKS-KHF_13C774C775C0C1B1732X0","李翼相","이익상","평산(平山)",1732,,"plastic"
"G002+AKS-KHF_13C784C548CCA0B1769X0","林顔喆","임안철","나주(羅州)",1769,,"silver"
"G002+AKS-KHF_12C774D6C4FFFFB1828X0","李","이후","연안(延安)",1828,,"silver"
"G002+AKS-KHF_13C774ACBDC0DDU9999X0","李敬生","이경생","강양(江陽)",,,"plastic"
"G002+AKS-KHF_13D669C9C4C190B1426X0","黃震孫","황진손","평해(平海)",1426,1497,"plastic"
"G002+AKS-KHF_13C774ACBDD718B1617X0","李慶徽","이경휘","경주(慶州)",1617,1669,"silver"
"G002+AKS-KHF_12C774D1B5FFFFU9999X0","李通","이통","경주(慶州)",,,"silver"
"G002+AKS-KHF_13C548D5CCBBFCB1597X0","安獻民","안헌민","순흥(順興)",1597,,"plastic"
"G002+AKS-KHF_13C774AD11C775B1703X0","李光瀷","이광익","평창(平昌)",1703,1780,"silver"
"G002+AKS-KHF_13C870C0C1C625B1788X0","趙相玉","조상옥","배천(白川)",1788,,"plastic"
"G002+AKS-KHF_13C870ACC4C0C1B1466X0","曺繼商","조계상","창녕(昌寧)",1466,1543,"silver"
"G002+AKS-KHF_12BC15B834FFFFB1532X0","朴簾","박염","반남(潘南)",1532,1583,"silver"
"G002+AKS-KHF_13C774B178C220B1741X0","李魯述","이노술","덕수(德水)",1741,,"silver"
"G002+AKS-KHF_13D64DD559C8FCB1839X0","洪學周","홍학주","풍산(豊山)",1839,,"silver"
"G002+AKS-KHF_13C624D558CCA0B1783X0","吳夏哲","오하철","해주(海州)",1783,,"plastic"
"G002+AKS-KHF_13C774AC74C6A9B1842X0","李建容","이건용","전주(全州)",1842,,"silver"
"G002+AKS-KHF_13BC15B178C0BCB1850X0","朴魯參","박노삼","순천(順天)",1850,,"plastic"
"G002+AKS-KHF_13C624C815C704B1616X0","吳挺緯","오정위","동복(同福)",1616,1692,"silver"
"G002+AKS-KHF_13BBFCBCF4D6C8B1858X0","閔輔勳","민보훈","여흥(驪興)",1858,1886,"silver"
"G002+AKS-KHF_13B0A8D559B85CB1703X0","南鶴老","남학노","의령(宜寧)",1703,,"silver"
"G002+AKS-KHF_13AE40C6B0C601B1846X0","金羽永","김우영","의성(義城)",1846,,"silver"
"G002+AKS-KHF_13D669D558D760B1809X0","黃夏欽","황하흠","회덕(懷德)",1809,,"plastic"
