"생성일","수정일","아이디","세대","성별","부 아이디","모 아이디","관계","세대순서","처","처 순서","본명","출력명","전체명","유형","계대","연호","성","본관","휘","자","호","군호","봉호","시호","묘호","능호","휘호","존호","관직","생년","재위년","선대","하가","주석","부가정보"
"20120704234346","20120704234346","1","","M","","","","","","","穆祖","穆祖","穆祖仁文聖穆大王諱安社","추존왕","18","","李","全州","安社","","","","","","穆祖","德陵 (함경남도 함흥시 달단동 가평사)","","仁文聖穆","","","","","","","穆祖/穆祖仁文聖穆大王諱安社/추존왕//18/李/全州/安社//////穆祖/德陵 (함경남도 함흥시 달단동 가평사)//仁文聖穆////"
"20120704234346","20120704234346","2","","F","","","","","1","1","孝恭王后","孝恭王后","孝恭王后李氏","추존비","","","李","平昌","","","","","","孝恭","","安陵 (함경남도 함흥시 달단동 가평사)","","孝恭","","","","千牛衛長史 李公肅 女","","","孝恭王后/孝恭王后李氏/추존비///李/平昌//////孝恭//安陵 (함경남도 함흥시 달단동 가평사)//孝恭//千牛衛長史 李公肅 女//"
"20120704234346","20120704234346","3","","M","1","2","","1","","","李於仙","安川大君 於仙","安川大君 於仙","대군","19","","李","全州","於仙","","","安川大君","","","","함경북도 경흥군","","","","","","","","","李於仙/安川大君 於仙/대군//19/李/全州/於仙///安川大君////함경북도 경흥군//////"
"20120704234346","20120704234346","4","","F","","","","","3","1","李於仙","金海金氏","金海金氏","부인","","","金","金海","","","","","","","","","","","","","","金南玉 女","安川大君 於仙","","李於仙/金海金氏/부인///金/金海////////////金南玉 女//"
"20120704234346","20120704234346","5","","M","1","2","","2","","","李珍","安原大君 珍","安原大君 珍","대군","19","","李","全州","珍","國瑞","","安原大君","","忠莊","","함경북도 경흥군 서복룡사","","","","","","","","","李珍/安原大君 珍/대군//19/李/全州/珍/國瑞//安原大君//忠莊//함경북도 경흥군 서복룡사//////"
"20120704234346","20120704234346","6","","F","","","","","5","1","李珍","平山申氏","平山申氏","부인","","","申","平山","","","","","","","","","","","","","","","安原大君 珍","","李珍/平山申氏/부인///申/平山//////////////"
"20120704234346","20120704234346","7","","M","1","2","","3","","","李精","安豐大君 精","安豐大君 精","대군","19","","李","全州","精","","","安豐大君","","","","","","","","","","","","","李精/安豐大君 精/대군//19/李/全州/精///安豐大君//////////"
"20120704234346","20120704234346","8","","M","1","2","","5","","","李梅拂","安昌大君 梅拂","安昌大君 梅拂","대군","19","","李","全州","梅拂","","","安昌大君","","","","함경남도 함흥시 운전사 연관동","","","","","","","","","李梅拂/安昌大君 梅拂/대군//19/李/全州/梅拂///安昌大君////함경남도 함흥시 운전사 연관동//////"
"20120704234346","20120704234346","9","","M","1","2","","6","","","李球壽","安興大君 球壽","安興大君 球壽","대군","19","","李","全州","球壽","","","安興大君","","","","함경남도 함흥시 동명사 벌계리 봉수하 구수동","","","","","","","","","李球壽/安興大君 球壽/대군//19/李/全州/球壽///安興大君////함경남도 함흥시 동명사 벌계리 봉수하 구수동//////"
"20120704234346","20120704234346","10","","F","","","","","9","1","李球壽","淸州韓氏","淸州韓氏","부인","","","韓","淸州","","","","","","","","","","","","","","韓淳良 女","安興大君 球壽","","李球壽/淸州韓氏/부인///韓/淸州////////////韓淳良 女//"
"20120704234346","20120704234346","11","","M","1","2","","4","","","翼祖","翼祖","翼祖康惠聖翼大王諱行里","추존왕","19","","李","全州","行里","","","","","","翼祖","智陵 (함경남도 안변군 서곡면)","","康惠聖翼","","","","","","","翼祖/翼祖康惠聖翼大王諱行里/추존왕//19/李/全州/行里//////翼祖/智陵 (함경남도 안변군 서곡면)//康惠聖翼////"
"20120704234346","20120704234346","12","","F","","","","","11","1","貞淑王后","貞淑王后","貞淑王后崔氏","추존비","","","崔","登州","","","","","","貞淑","","淑陵 (함경남도 문천군 초한사)","","貞淑","","","","戶長 崔基烈 女","","","貞淑王后/貞淑王后崔氏/추존비///崔/登州//////貞淑//淑陵 (함경남도 문천군 초한사)//貞淑//戶長 崔基烈 女//"
"20120704234346","20120704234346","13","","M","11","12","","1","","","李安","咸寧大君 安","咸寧大君 安","대군","20","","李","全州","安","","","咸寧大君","","","","함경남도 함흥시 동명사 마전동","","","","","","","","","李安/咸寧大君 安/대군//20/李/全州/安///咸寧大君////함경남도 함흥시 동명사 마전동//////"
"20120704234346","20120704234346","14","","F","","","","","13","1","李安","平山申氏","平山申氏","부인","","","申","平山","","","","","","","","","","","","","","","咸寧大君 安","","李安/平山申氏/부인///申/平山//////////////"
"20120704234346","20120704234346","15","","M","11","12","","2","","","李長","咸昌大君 長","咸昌大君 長","대군","20","","李","全州","長","","","咸昌大君","","","","함경남도 신흥군 동고천사 와우동","","","","","","","","","李長/咸昌大君 長/대군//20/李/全州/長///咸昌大君////함경남도 신흥군 동고천사 와우동//////"
